[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.435s][info][metaspace] Reserving compressed class space anywhere
[0.440s][info][gc,metaspace] CDS archive(s) not mapped
[0.440s][info][gc,metaspace] Compressed class space mapped at: 0x000000003c000000-0x00000000fc000000, reserved size: 3221225472
[0.440s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.440s][info][gc,metaspace] Narrow klass base: 0x000000003c000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.423s][info][gc,metaspace] GC(0) Metaspace: 21726K(22016K)->21726K(22016K) NonClass: 18008K(18176K)->18008K(18176K) Class: 3717K(3840K)->3717K(3840K)
[1.423s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 5.165ms
[1.748s][info][gc,metaspace] GC(1) Metaspace: 22017K(22336K)->22017K(22336K) NonClass: 18298K(18496K)->18298K(18496K) Class: 3718K(3840K)->3718K(3840K)
[1.748s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 300M->4M(6144M) 4.400ms
[2.030s][info][gc,metaspace] GC(2) Metaspace: 22198K(22464K)->22198K(22464K) NonClass: 18479K(18624K)->18479K(18624K) Class: 3718K(3840K)->3718K(3840K)
[2.030s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 300M->4M(6144M) 4.262ms

Loading 256...[2.197s][info][gc,metaspace] GC(3) Metaspace: 22797K(23168K)->22797K(23168K) NonClass: 18822K(19072K)->18822K(19072K) Class: 3974K(4096K)->3974K(4096K)
[2.197s][info][gc          ] GC(3) Pause Full (System.gc()) 120M->3M(6144M) 56.379ms
Creating 262144 objects per class...[4.589s][info][gc,metaspace] GC(4) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19590K(19904K)->19590K(19904K) Class: 4109K(4352K)->4109K(4352K)
[4.589s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 567M->563M(6144M) 208.927ms

Done; will start GCs... 
[6.326s][info][gc,metaspace] GC(5) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19590K(19904K)->19590K(19904K) Class: 4109K(4352K)->4109K(4352K)
[6.326s][info][gc          ] GC(5) Pause Full (System.gc()) 783M->775M(6144M) 429.405ms
[6.701s][info][gc,metaspace] GC(6) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19590K(19904K)->19590K(19904K) Class: 4109K(4352K)->4109K(4352K)
[6.701s][info][gc          ] GC(6) Pause Full (System.gc()) 775M->775M(6144M) 374.455ms
[7.097s][info][gc,metaspace] GC(7) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19590K(19904K)->19590K(19904K) Class: 4109K(4352K)->4109K(4352K)
[7.097s][info][gc          ] GC(7) Pause Full (System.gc()) 775M->775M(6144M) 391.539ms
[7.432s][info][gc,metaspace] GC(8) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19590K(19904K)->19590K(19904K) Class: 4109K(4352K)->4109K(4352K)
[7.432s][info][gc          ] GC(8) Pause Full (System.gc()) 775M->775M(6144M) 335.507ms
[7.791s][info][gc,metaspace] GC(9) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[7.791s][info][gc          ] GC(9) Pause Full (System.gc()) 775M->775M(6144M) 358.883ms
[8.130s][info][gc,metaspace] GC(10) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
