[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.404s][info][metaspace] Reserving compressed class space anywhere
[0.409s][info][gc,metaspace] CDS archive(s) not mapped
[0.409s][info][gc,metaspace] Compressed class space mapped at: 0x0000000037000000-0x00000000f7000000, reserved size: 3221225472
[0.409s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.409s][info][gc,metaspace] Narrow klass base: 0x0000000037000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.429s][info][gc,metaspace] GC(0) Metaspace: 21739K(22016K)->21739K(22016K) NonClass: 18026K(18176K)->18026K(18176K) Class: 3712K(3840K)->3712K(3840K)
[1.430s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->3M(6144M) 4.147ms
[1.782s][info][gc,metaspace] GC(1) Metaspace: 22034K(22336K)->22034K(22336K) NonClass: 18320K(18496K)->18320K(18496K) Class: 3713K(3840K)->3713K(3840K)
[1.782s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 303M->4M(6144M) 4.186ms
[2.130s][info][gc,metaspace] GC(2) Metaspace: 22243K(22592K)->22243K(22592K) NonClass: 18529K(18752K)->18529K(18752K) Class: 3713K(3840K)->3713K(3840K)
[2.130s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 300M->4M(6144M) 4.212ms

Loading 256...[2.268s][info][gc,metaspace] GC(3) Metaspace: 22831K(23168K)->22831K(23168K) NonClass: 18861K(19072K)->18861K(19072K) Class: 3969K(4096K)->3969K(4096K)
[2.268s][info][gc          ] GC(3) Pause Full (System.gc()) 118M->3M(6144M) 16.671ms
Creating 262144 objects per class...[4.638s][info][gc,metaspace] GC(4) Metaspace: 23734K(24256K)->23734K(24256K) NonClass: 19630K(19904K)->19630K(19904K) Class: 4104K(4352K)->4104K(4352K)
[4.638s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 567M->563M(6144M) 194.811ms

Done; will start GCs... 
[6.311s][info][gc,metaspace] GC(5) Metaspace: 23734K(24256K)->23734K(24256K) NonClass: 19630K(19904K)->19630K(19904K) Class: 4104K(4352K)->4104K(4352K)
[6.311s][info][gc          ] GC(5) Pause Full (System.gc()) 783M->775M(6144M) 371.886ms
[6.670s][info][gc,metaspace] GC(6) Metaspace: 23734K(24256K)->23734K(24256K) NonClass: 19630K(19904K)->19630K(19904K) Class: 4104K(4352K)->4104K(4352K)
[6.670s][info][gc          ] GC(6) Pause Full (System.gc()) 775M->775M(6144M) 358.815ms
[7.003s][info][gc,metaspace] GC(7) Metaspace: 23734K(24256K)->23734K(24256K) NonClass: 19630K(19904K)->19630K(19904K) Class: 4104K(4352K)->4104K(4352K)
[7.003s][info][gc          ] GC(7) Pause Full (System.gc()) 775M->775M(6144M) 332.451ms
[7.318s][info][gc,metaspace] GC(8) Metaspace: 23734K(24256K)->23734K(24256K) NonClass: 19630K(19904K)->19630K(19904K) Class: 4104K(4352K)->4104K(4352K)
[7.318s][info][gc          ] GC(8) Pause Full (System.gc()) 775M->775M(6144M) 314.798ms
