Done; will start GCs... 
[7.724s][info][gc,metaspace] GC(10) Metaspace: 24033K(24640K)->24033K(24640K) NonClass: 21450K(21760K)->21450K(21760K) Class: 2582K(2880K)->2582K(2880K)
[7.724s][info][gc          ] GC(10) Pause Full (System.gc()) 1531M->1529M(6144M) 500.576ms
[8.195s][info][gc,metaspace] GC(11) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[8.195s][info][gc          ] GC(11) Pause Full (System.gc()) 1529M->1529M(6144M) 470.607ms
[8.705s][info][gc,metaspace] GC(12) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[8.705s][info][gc          ] GC(12) Pause Full (System.gc()) 1529M->1529M(6144M) 509.637ms
[9.170s][info][gc,metaspace] GC(13) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[9.170s][info][gc          ] GC(13) Pause Full (System.gc()) 1529M->1529M(6144M) 465.353ms
[9.635s][info][gc,metaspace] GC(14) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[9.635s][info][gc          ] GC(14) Pause Full (System.gc()) 1529M->1529M(6144M) 465.054ms
[10.115s][info][gc,metaspace] GC(15) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[10.115s][info][gc          ] GC(15) Pause Full (System.gc()) 1529M->1529M(6144M) 479.134ms
[10.602s][info][gc,metaspace] GC(16) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[10.602s][info][gc          ] GC(16) Pause Full (System.gc()) 1529M->1529M(6144M) 487.790ms
[11.089s][info][gc,metaspace] GC(17) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[11.089s][info][gc          ] GC(17) Pause Full (System.gc()) 1529M->1529M(6144M) 486.420ms
[11.542s][info][gc,metaspace] GC(18) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[11.543s][info][gc          ] GC(18) Pause Full (System.gc()) 1529M->1529M(6144M) 453.501ms
[12.037s][info][gc,metaspace] GC(19) Metaspace: 24034K(24640K)->24034K(24640K) NonClass: 21452K(21760K)->21452K(21760K) Class: 2582K(2880K)->2582K(2880K)
[12.037s][info][gc          ] GC(19) Pause Full (System.gc()) 1529M->1529M(6144M) 494.879ms
After GCs... 
