Done; will start GCs... 
[18.306s][info][gc,metaspace] GC(3) Metaspace: 24015K(24576K)->24015K(24576K) NonClass: 19896K(20224K)->19896K(20224K) Class: 4118K(4352K)->4118K(4352K)
[18.306s][info][gc          ] GC(3) Pause Full (System.gc()) 1419M->1389M(5939M) 3854.918ms
[21.445s][info][gc,metaspace] GC(4) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[21.445s][info][gc          ] GC(4) Pause Full (System.gc()) 1389M->1389M(5939M) 3138.813ms
[24.643s][info][gc,metaspace] GC(5) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[24.643s][info][gc          ] GC(5) Pause Full (System.gc()) 1389M->1389M(5939M) 3197.530ms
[27.784s][info][gc,metaspace] GC(6) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[27.784s][info][gc          ] GC(6) Pause Full (System.gc()) 1389M->1389M(5939M) 3141.396ms
[30.920s][info][gc,metaspace] GC(7) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[30.920s][info][gc          ] GC(7) Pause Full (System.gc()) 1389M->1389M(5939M) 3135.552ms
[34.058s][info][gc,metaspace] GC(8) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[34.058s][info][gc          ] GC(8) Pause Full (System.gc()) 1389M->1389M(5939M) 3137.912ms
[37.193s][info][gc,metaspace] GC(9) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[37.193s][info][gc          ] GC(9) Pause Full (System.gc()) 1389M->1389M(5939M) 3134.385ms
[40.326s][info][gc,metaspace] GC(10) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[40.326s][info][gc          ] GC(10) Pause Full (System.gc()) 1389M->1389M(5939M) 3133.630ms
[43.458s][info][gc,metaspace] GC(11) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[43.458s][info][gc          ] GC(11) Pause Full (System.gc()) 1389M->1389M(5939M) 3131.493ms
[46.634s][info][gc,metaspace] GC(12) Metaspace: 24016K(24576K)->24016K(24576K) NonClass: 19897K(20224K)->19897K(20224K) Class: 4118K(4352K)->4118K(4352K)
[46.635s][info][gc          ] GC(12) Pause Full (System.gc()) 1389M->1389M(5939M) 3176.301ms
After GCs... 
